dataset_name,model_name,num_features,roc_auc_mean,roc_auc_std,f1_mean,accuracy_mean,precision_mean,recall_mean
top_15_aggregate,LogisticRegression,15,0.9639118457300275,0.024100731015369917,0.8784282662043745,0.8784149184149184,0.8738809728283414,0.890909090909091
top_20_aggregate,RandomForest,20,0.9627640036730947,0.02180499334920187,0.90157136969972,0.8997202797202798,0.8869949494949495,0.9208333333333334
shap_top_25,RandomForest,25,0.9618055555555556,0.020200291843171115,0.9131505391087934,0.9118881118881118,0.9035562139010415,0.9270833333333334
all_features,RandomForest,101,0.9613119834710744,0.028584934084240905,0.8973549130048337,0.8966899766899766,0.884955809910171,0.9147727272727273
low_corr_features,RandomForest,77,0.9607782369146005,0.029040213488923595,0.9180736052553436,0.9179953379953381,0.9054455983867749,0.9331439393939395
top_25_aggregate,RandomForest,25,0.9601411845730027,0.022087654814167506,0.9050001854846738,0.9027039627039628,0.8870939812875296,0.9268939393939395
tree_top_25,LightGBM,25,0.9600780532598716,0.01769810354479661,0.9135609605495472,0.9117482517482518,0.8957739729798554,0.9331439393939395
top_15_aggregate,SVC_RBF,15,0.9600493572084481,0.02650771185862667,0.8940934671484957,0.8936130536130535,0.8837025043921596,0.9087121212121213
top_30_aggregate,RandomForest,30,0.9599517906336088,0.024397960074515355,0.910589802709368,0.9087645687645688,0.8918314660250143,0.9329545454545455
top_15_aggregate,GradientBoosting,15,0.9596820477502297,0.027025757804264746,0.8852677877677879,0.8845221445221446,0.8832546620046621,0.8905303030303031
top_15_aggregate,RandomForest,15,0.9596533516988062,0.025288291725881793,0.9109603323030295,0.9088578088578089,0.8929540525887774,0.9329545454545455
top_25_aggregate,GradientBoosting,25,0.9596361340679522,0.024163367608617987,0.8859940156960194,0.8844755244755245,0.8729736645391295,0.9028409090909092
top_20_aggregate,GradientBoosting,20,0.9595730027548208,0.021295876282873834,0.8890044677544677,0.8873193473193473,0.8781177156177156,0.9024621212121213
tree_top_25,CatBoost,25,0.9594180440771349,0.022836882405528006,0.9171727861150314,0.9148251748251749,0.8970179738562092,0.9392045454545455
top_15_aggregate,CatBoost,15,0.9587867309458218,0.02902098177450605,0.9031495840083041,0.8997202797202798,0.8828052584670232,0.9270833333333334
top_15_aggregate,ExtraTrees,15,0.9587522956841138,0.02698310086006255,0.9109475460240922,0.9087645687645688,0.8917462160302717,0.9331439393939395
permutation_top_25,XGBoost,25,0.9584538567493113,0.023142488563319002,0.8998304105586075,0.8995804195804196,0.9000711158826858,0.9022727272727273
tree_top_25,XGBoost,25,0.9575355831037647,0.021395668176817508,0.8869367887014945,0.8875524475524476,0.8901174766094121,0.8844696969696969
tree_top_25,ExtraTrees,25,0.9572141873278237,0.028826094229335412,0.9053847296494355,0.9027505827505827,0.8866674991674991,0.9268939393939395
tree_top_25,GradientBoosting,25,0.9555555555555555,0.027861169968657135,0.8974592074592074,0.8966899766899766,0.8830231043466338,0.9149621212121213
top_15_aggregate,XGBoost,15,0.95471189164371,0.029925952910987683,0.8854305786409278,0.8844289044289045,0.8842836257309943,0.8905303030303031
tree_top_25,HistGradientBoosting,25,0.9537936179981633,0.02186636407017688,0.885159255923084,0.8844289044289045,0.8811713776419658,0.8907196969696971
tree_top_25,LogisticRegression,25,0.9536960514233241,0.03293762033311018,0.8654198635976129,0.8630769230769231,0.8443107743510968,0.890340909090909
top_15_aggregate,LightGBM,15,0.9530417814508724,0.0313714106395624,0.8794835347074154,0.8783682983682984,0.8781378630856809,0.884469696969697
tree_top_25,RandomForest,25,0.9512511478420571,0.02634955384584806,0.8865720694830284,0.8845687645687645,0.8738257575757575,0.9026515151515152
permutation_top_25,CatBoost,25,0.9499024334251608,0.021836261414764663,0.8893500364025974,0.8873193473193473,0.8787015667511024,0.9022727272727273
permutation_top_25,GradientBoosting,25,0.9494260789715334,0.025911588052075607,0.8866002344095747,0.8843822843822844,0.8739421362950776,0.9022727272727273
permutation_top_25,LightGBM,25,0.9488923324150598,0.02337685394000086,0.8849232361566328,0.8843822843822844,0.8806926406926407,0.8901515151515152
tree_top_25,SVC_RBF,25,0.9479683195592287,0.031172474036312424,0.8867186996360523,0.8845221445221446,0.8637229437229438,0.9147727272727273
permutation_top_25,HistGradientBoosting,25,0.9473427456382002,0.030504040338940858,0.8775730513156912,0.8752447552447553,0.8675766622438449,0.8901515151515152
top_15_aggregate,HistGradientBoosting,15,0.9471648301193756,0.03652532985214112,0.8825276317846704,0.8784149184149184,0.8663004879371103,0.9026515151515152
permutation_top_25,RandomForest,25,0.9421487603305785,0.03264330426011312,0.8889717312057226,0.8904895104895104,0.8908769621548528,0.8901515151515152
permutation_top_25,ExtraTrees,25,0.9416322314049588,0.03554859159734232,0.8696354502806116,0.8693240093240092,0.8664005912786401,0.8780303030303032
permutation_top_25,SVC_RBF,25,0.9238980716253444,0.037158561198880606,0.8405978353782828,0.8386946386946386,0.830419597380548,0.8537878787878788
permutation_top_25,LogisticRegression,25,0.9105601469237833,0.022398942959412096,0.8446237585943468,0.8414918414918414,0.825870484200655,0.8657196969696969
