path,key,dtype,example_value,is_github_api_url,fetch_status,error_message,depth
events_url.__api__[13],[13],dict,"{'id': '8054304468', 'type': 'PullRequestReviewEvent', 'actor': {'id': 8078968, 'login': 'jbrockmendel', 'display_login'",False,,,1
events_url.__api__[14],[14],dict,"{'id': '8054304094', 'type': 'PullRequestReviewCommentEvent', 'actor': {'id': 8078968, 'login': 'jbrockmendel', 'display",False,,,1
events_url.__api__[15],[15],dict,"{'id': '8054288489', 'type': 'PullRequestReviewEvent', 'actor': {'id': 8078968, 'login': 'jbrockmendel', 'display_login'",False,,,1
events_url.__api__[16],[16],dict,"{'id': '8054288116', 'type': 'PullRequestReviewCommentEvent', 'actor': {'id': 8078968, 'login': 'jbrockmendel', 'display",False,,,1
events_url.__api__[17],[17],dict,"{'id': '8054184074', 'type': 'PullRequestEvent', 'actor': {'id': 8078968, 'login': 'jbrockmendel', 'display_login': 'jbr",False,,,1
events_url.__api__[18],[18],dict,"{'id': '8054183473', 'type': 'PullRequestEvent', 'actor': {'id': 8078968, 'login': 'jbrockmendel', 'display_login': 'jbr",False,,,1
events_url.__api__[19],[19],dict,"{'id': '8053971045', 'type': 'IssueCommentEvent', 'actor': {'id': 8078968, 'login': 'jbrockmendel', 'display_login': 'jb",False,,,1
events_url.__api__[20],[20],dict,"{'id': '8053885503', 'type': 'WatchEvent', 'actor': {'id': 265682745, 'login': 'np3383', 'display_login': 'np3383', 'gra",False,,,1
events_url.__api__[21],[21],dict,"{'id': '8053820079', 'type': 'IssueCommentEvent', 'actor': {'id': 8078968, 'login': 'jbrockmendel', 'display_login': 'jb",False,,,1
events_url.__api__[22],[22],dict,"{'id': '8053561650', 'type': 'IssueCommentEvent', 'actor': {'id': 10647082, 'login': 'mroeschke', 'display_login': 'mroe",False,,,1
events_url.__api__[23],[23],dict,"{'id': '10140811235', 'type': 'PushEvent', 'actor': {'id': 10647082, 'login': 'mroeschke', 'display_login': 'mroeschke',",False,,,1
events_url.__api__[24],[24],dict,"{'id': '8053560530', 'type': 'IssuesEvent', 'actor': {'id': 10647082, 'login': 'mroeschke', 'display_login': 'mroeschke'",False,,,1
